dispersers,dispersion_range,peak_distance, distance_50pct,references
Small birds,0 - 100,,< 51,@Jordano2007; @Zamora2010
Medium birds,,,> 110,@Jordano2007
Eurasian jay,5 - 1000,263*; 402**,,\autocite{Gomez2003}
,3 - 550,68,,@Pons2007
Mammals,0 - 990,650 - 700,> 495,@Jordano2007: @Matias2010
